Q (1/A),Intensity in plane (a.u.),Intensity out of plane (a.u.)
0.0012500001490116119,0.0,3.7035112
0.003750000447034836,0.0,2.7495036
0.006250000745058059,2.4281707,7.4070225
0.008750001043081285,2.4912696,5.499007
0.011250001341104508,4.8563414,6.063258
0.013750001639127731,4.982539,6.767278
0.016250001937150954,8.216262,7.40453
0.01875000223517418,6.8292484,7.7377243
0.021250002533197403,7.783728,6.9191933
0.023750002831220626,6.911903,5.960949
0.02625000312924385,6.9165993,7.0968804
0.028750003427267076,4.3927007,6.9983172
0.0312500037252903,6.801206,6.863131
0.033750004023313525,7.8908043,6.1221924
0.03625000432133675,4.976895,7.490565
0.03875000461935997,7.4393725,5.5775037
0.0412500049173832,6.6713457,6.5721083
0.043750005215406416,7.180998,5.9058614
0.04625000551342964,5.236084,6.0619125
0.04875000581145286,4.8254733,6.787708
0.05125000610947609,5.514983,7.3555884
0.053750006407499315,5.037592,7.0309973
0.05625000670552254,5.3730025,5.6707864
0.05875000700354577,5.6064563,5.614682
0.06125000730156899,7.244254,5.9392548
0.0637500075995922,6.3788633,5.9542375
0.06625000789761543,5.4377937,5.6953216
0.06875000819563866,5.2922683,6.2831416
0.07125000849366189,5.2790895,5.6591253
0.07375000879168511,5.495857,6.649146
0.07625000908970833,6.2216716,6.016935
0.07875000938773156,7.428849,6.2183776
0.08125000968575478,5.7991066,6.1749444
0.08375000998377802,4.999,6.0182767
0.08625001028180124,5.7639985,6.3990207
0.08875001057982446,6.5061774,6.414529
0.09125001087784768,6.501151,6.561612
0.0937500111758709,7.0218873,6.3879027
0.09625001147389413,6.787473,5.837136
0.09875001177191735,6.665438,6.4276185
0.10125001206994057,6.0764594,6.4660563
0.10375001236796381,7.618932,5.755679
0.10625001266598703,6.028234,6.3465834
0.10875001296401025,5.2251587,6.099189
0.11125001326203349,6.0186133,6.1657023
0.1137500135600567,6.6528997,5.5229344
0.11625001385807993,5.7041802,6.200139
0.11875001415610315,5.911782,6.7071185
0.12125001445412636,5.8949323,6.8419666
0.1237500147521496,5.9004207,6.228794
0.1262500150501728,5.656314,5.8824725
0.12875001534819605,6.1578116,6.2129416
0.13125001564621927,5.3800564,6.4254436
0.1337500159442425,5.9171395,5.8789024
0.1362500162422657,5.5866327,6.222387
0.13875001654028893,5.1206217,5.8648567
0.14125001683831218,5.659563,6.243931
0.1437500171363354,6.0450544,6.2362065
0.14625001743435861,5.7068653,6.232743
0.14875001773238183,5.768145,5.981353
0.15125001803040505,6.074873,6.4074802
0.15375001832842827,5.359641,6.10211
0.1562500186264515,5.286378,6.2026787
0.1587500189244747,5.2629185,6.208015
0.16125001922249793,5.1144257,6.4220624
0.16375001952052118,5.5966377,6.038458
0.16625001981854437,6.2450323,5.8424006
0.16875002011656762,5.272972,5.908482
0.17125002041459084,5.6409707,5.9806347
0.17375002071261408,5.346299,6.1863465
0.17625002101063728,5.914096,6.171653
0.17875002130866052,5.5740232,6.1155252
0.18125002160668371,5.478987,6.0291576
0.18375002190470696,4.971556,6.3520207
0.18625002220273018,4.982621,6.0485253
0.1887500225007534,5.2582946,5.8832297
0.19125002279877662,5.7180147,5.612901
0.19375002309679984,5.8039627,5.740166
0.19625002339482306,5.8082542,5.9653444
0.1987500236928463,5.624499,5.727087
0.2012500239908695,5.5886784,6.1737876
0.20375002428889274,4.9582734,5.663363
0.206250024586916,5.5569973,5.6742883
0.20875002488493918,5.242538,5.943406
0.21125002518296243,5.0371633,5.7407556
0.21375002548098565,5.381301,5.712421
0.21625002577900887,5.289223,5.659828
0.2187500260770321,5.071485,5.7892356
0.2212500263750553,5.4952626,5.7674375
0.22375002667307853,4.9282284,5.8605504
0.22625002697110178,6.0995483,5.7992606
0.22875002726912497,5.371624,5.516676
0.23125002756714821,5.2076077,5.8224807
0.2337500278651714,4.878345,5.9245553
0.23625002816319465,4.9766126,5.942244
0.23875002846121787,5.3061275,5.912747
0.24125002875924112,5.5220914,5.786869
0.24375002905726434,5.1100197,5.8301616
0.24625002935528756,5.166019,5.92272
0.24875002965331078,5.1702275,5.8731575
0.251250029951334,5.3797517,6.1441045
0.2537500302493572,5.3532796,6.1836767
0.25625003054738044,4.947145,6.1629295
0.2587500308454037,5.298582,6.082819
0.2612500311434269,5.2365284,6.150179
0.26375003144145015,5.0969677,5.9507694
0.2662500317394733,5.228771,5.9932055
0.2687500320374966,4.9904885,5.649355
0.2712500323355198,4.99474,5.3336744
0.27375003263354303,5.0296173,5.6390686
0.27625003293156625,5.217025,5.345907
0.27875003322958947,5.1657667,5.748319
0.2812500335276127,4.969425,5.6326237
0.2837500338256359,4.8862367,5.581217
0.2862500341236591,5.577082,5.8133464
0.28875003442168234,5.08724,5.748475
0.2912500347197056,4.8361406,5.463374
0.2937500350177288,4.581401,5.2675643
0.29625003531575206,4.6675334,5.721868
0.2987500356137752,5.166283,5.6555915
0.3012500359117985,5.2786193,5.5597286
0.3037500362098217,4.9839425,5.470101
0.30625003650784494,5.0368824,5.4281945
0.30875003680586816,5.1081533,5.604926
0.3112500371038914,4.821998,5.7580605
0.31375003740191465,4.812081,5.503764
0.3162500376999378,4.341444,5.527035
0.3187500379979611,4.625865,5.487249
0.3212500382959843,4.6477056,5.461481
0.3237500385940075,4.381832,5.817149
0.3262500388920308,5.112985,5.787422
0.32875003919005397,4.8388977,5.6435437
0.3312500394880772,4.932013,5.2265935
0.3337500397861004,4.781603,5.60788
0.3362500400841237,5.253236,5.600177
0.3387500403821469,4.655264,5.7283044
0.34125004068017006,4.787205,5.3306127
0.3437500409781933,5.5559793,5.6035705
0.34625004127621656,5.217464,5.448403
0.3487500415742398,4.6971874,5.5193653
0.351250041872263,4.911955,5.468764
0.35375004217028616,4.607895,5.594649
0.3562500424683095,4.844049,5.4708486
0.35875004276633266,4.84599,5.490426
0.3612500430643559,4.356725,5.499578
0.36375004336237915,4.912798,5.161782
0.36625004366040237,4.8013372,5.3104615
0.3687500439584256,4.710221,5.565141
0.37125004425644875,4.0155077,5.6325936
0.373750044554472,4.8498726,5.6249866
0.37625004485249525,4.2619147,5.2420497
0.37875004515051847,4.7307973,5.2880816
0.3812500454485417,4.603229,5.250084
0.3837500457465649,4.551318,5.335374
0.3862500460445881,4.529558,5.0824943
0.38875004634261134,4.843581,5.264269
0.39125004664063456,4.184522,5.4386225
0.39375004693865784,4.7354875,5.262905
0.396250047236681,4.4512978,5.342906
0.3987500475347042,4.6352634,5.481287
0.40125004783272744,5.3736157,5.596801
0.4037500481307507,4.5453653,5.657789
0.40625004842877394,4.8859777,5.3892407
0.4087500487267971,4.662349,5.3300595
0.41125004902482043,4.810587,5.6989493
0.4137500493228436,4.653629,5.5287814
0.4162500496208668,4.8672924,5.567642
0.41875004991889003,4.775509,5.272737
0.4212500502169133,4.7938156,5.35853
0.4237500505149365,4.7776213,5.3662577
0.4262500508129597,4.6933117,5.5456
0.4287500511109829,4.4982376,5.317089
0.4312500514090062,4.675168,5.204192
0.4337500517070294,4.690889,5.089465
0.4362500520050526,4.606781,4.9280477
0.4387500523030758,4.185759,5.1220655
0.44125005260109906,4.0804057,5.1521177
0.4437500528991223,4.2080564,4.9921594
0.4462500531971455,4.6774273,5.313182
0.4487500534951688,4.724611,5.2518153
0.45125005379319194,4.5064855,4.8996973
0.45375005409121516,4.4480453,5.199245
0.4562500543892384,4.394461,5.067531
0.45875005468726165,4.785452,5.426229
0.4612500549852849,4.1434865,5.5795455
0.46375005528330804,3.9073048,5.46457
0.46625005558133126,4.4092097,5.3824673
0.46875005587935453,4.2794743,5.5869417
0.47125005617737775,4.172997,5.1920605
0.47375005647540097,4.3413353,5.0088224
0.47625005677342414,4.6583433,4.7949915
0.47875005707144747,4.1958623,5.30651
0.48125005736947063,3.9905875,5.2665815
0.48375005766749385,4.2314734,5.2709193
0.4862500579655171,4.2588587,5.3384085
0.48875005826354034,4.207473,5.122033
0.49125005856156356,4.0950165,5.530354
0.4937500588595867,4.2981815,5.1814647
0.49625005915761,4.17253,4.9912148
0.4987500594556332,3.8290417,4.9449887
0.5012500597536564,4.0643935,4.8816514
0.5037500600516797,4.1807823,4.9998507
0.5062500603497029,4.2815857,5.0818496
0.5087500606477261,4.1057987,4.9196
0.5112500609457493,4.0284233,4.5733814
0.5137500612437725,3.9445472,5.276036
0.5162500615417958,4.13346,2.2866907
0.518750061839819,4.0983768,2.638018
0.5212500621378422,4.068212,0.0
0.5237500624358655,4.1901093,0.0
0.5262500627338886,4.2129464,0.0
0.5287500630319119,4.1382694,0.0
