Q (1/A),Intensity in plane (a.u.),Intensity out of plane (a.u.)
0.0012500001490116119,0.0,0.08852486
0.003750000447034836,0.0,0.0
0.006250000745058059,0.0,0.17704973
0.008750001043081285,0.0,0.0503649
0.011250001341104508,0.15171196,0.10798233
0.013750001639127731,0.22028896,0.1007298
0.016250001937150954,0.3034239,0.03891493
0.01875000223517418,0.44057792,0.11128438
0.021250002533197403,0.31480688,0.10845876
0.023750002831220626,0.43637174,0.37765715
0.02625000312924385,0.7788266,0.17800258
0.028750003427267076,2.2984726,0.6440299
0.0312500037252903,1.2428464,2.9322436
0.033750004023313525,4.1605735,4.5245256
0.03625000432133675,3.8644886,5.686485
0.03875000461935997,7.403541,8.405022
0.0412500049173832,6.4861307,10.362199
0.043750005215406416,9.13842,14.219144
0.04625000551342964,9.440743,15.037913
0.04875000581145286,8.433683,15.643358
0.05125000610947609,9.817068,18.588255
0.053750006407499315,9.728488,20.123596
0.05625000670552254,12.341627,20.305431
0.05875000700354577,13.601862,21.628529
0.06125000730156899,13.971087,21.721664
0.0637500075995922,14.976308,22.878887
0.06625000789761543,14.3581,22.69035
0.06875000819563866,15.068285,24.051125
0.07125000849366189,16.465029,25.822771
0.07375000879168511,15.133667,27.58985
0.07625000908970833,15.082778,28.185797
0.07875000938773156,16.967958,29.076834
0.08125000968575478,17.947931,28.64218
0.08375000998377802,16.882904,29.64332
0.08625001028180124,17.90325,29.42849
0.08875001057982446,17.825853,30.773321
0.09125001087784768,17.998571,31.726088
0.0937500111758709,19.94445,32.07277
0.09625001147389413,18.317175,30.043152
0.09875001177191735,17.995636,30.310104
0.10125001206994057,19.764923,31.440714
0.10375001236796381,18.620329,31.39514
0.10625001266598703,19.228102,30.672516
0.10875001296401025,20.38587,30.606499
0.11125001326203349,21.091812,31.802464
0.1137500135600567,20.140736,31.540674
0.11625001385807993,20.745932,31.778208
0.11875001415610315,21.265522,31.13794
0.12125001445412636,21.57193,30.66807
0.1237500147521496,22.565426,31.79958
0.1262500150501728,21.171215,30.691288
0.12875001534819605,21.259226,31.423988
0.13125001564621927,23.150293,31.58689
0.1337500159442425,22.699352,31.81025
0.1362500162422657,21.325348,31.677889
0.13875001654028893,21.514439,31.552368
